=== ZIGGYOS FORENSIC REPORT SINGLE SOURCE COLLECTION ===
Timestamp: 2026-06-18 12:35:07

  -> [DEC] File: fetch.py               | Size: 00783B | MD5: 88d2c9f3ba2f61614a87d228a53f1b36
  -> [DEC] File: teal_cockpit.py        | Size: 00296B | MD5: 0799599b205c0d32bcecc86c098929c6
  -> [DEC] File: export.py              | Size: 00641B | MD5: 57cdd3864fbf54d94a068ff614dd971c
  -> [DEC] File: batch_cracker.py       | Size: 01155B | MD5: 2e1518d3cc760914e9f43f450d7c3c9d
  -> [DEC] File: matrix_encoder.py      | Size: 00845B | MD5: 80e603a0599b436013715422c6d54c64
  -> [DEC] File: stardust_old_english.py | Size: 02179B | MD5: 63eda3a3b48aa1cdd26d87ef6995bbbd
  -> [DEC] File: flipper_one_core.py    | Size: 02123B | MD5: 840977169512252f4f29c1076b3b71e2
  -> [DEC] File: fix_dashboard.py       | Size: 02493B | MD5: e8d985accc796d75701a536401c4c155
  -> [DEC] File: swarm_nested_active.py | Size: 00392B | MD5: b11ccf56aa8cbe24d2d40ccdf6c404ea
  -> [DEC] File: launch_os.py           | Size: 01161B | MD5: 0794530178b9068a2374cfc07f039aff
  -> [DEC] File: app.py                 | Size: 02836B | MD5: 8cbd9ea3e8191cb8db340bd407e74008
  -> [DEC] File: network_scan.py        | Size: 00557B | MD5: 2675c13612737af6c9a08db7d1a8ad15
  -> [DEC] File: ish_window.py          | Size: 02648B | MD5: 94c8449fa073571902cb7eed0fef1f41
  -> [DEC] File: search.py              | Size: 00390B | MD5: 43f22ccfcd575084c67dedd63f4cdda4
  -> [DEC] File: sat_broadcast.py       | Size: 00901B | MD5: 74a605ef5d0b0bbd623551cb49ffbbe7
  -> [DEC] File: router.py              | Size: 01995B | MD5: 67470d9e58586450a49de7d93f3265b9
  -> [DEC] File: main.py                | Size: 01968B | MD5: 218f100f74b0a2153a26e9e9e480488f
  -> [DEC] File: tag_generator.py       | Size: 00153B | MD5: 41c1da2408b7e2edf30fd547c11a702a
  -> [DEC] File: pqc_lattice.py         | Size: 02234B | MD5: 8f9f1a630dab9b6154976b73f4a18156
  -> [DEC] File: leo_debrief.py         | Size: 06688B | MD5: d35f6ff676bbc9622f5377d51d5fcc67
  -> [DEC] File: ziggy_fpga_core.v      | Size: 05332B | MD5: 363c5b3d108409371ee170c65c607925
  -> [DEC] File: stardust_stream.py     | Size: 02948B | MD5: 629a1528989f62e494ce83f64f4d7bc4
  -> [DEC] File: scouter_engine.py      | Size: 03043B | MD5: bf2e50dc4e9ff73f455164990d7351f0
  -> [DEC] File: extract_stego_telemetry.py | Size: 01655B | MD5: 06e5fbdc4618fc037a142ff21c8c33a4
  -> [DEC] File: hardware_stats.py      | Size: 01017B | MD5: 5085f920d68363192902cd539d8b0fb4
  -> [DEC] File: matrix_metrics.py      | Size: 00425B | MD5: c66419ddbaeab85da55facc543606e67
  -> [DEC] File: matrix_transceiver.py  | Size: 02165B | MD5: 6b418f79bd439b62d4171673b585fad2
  -> [DEC] File: multi_zone_core.py     | Size: 03382B | MD5: ee41e1f93928e2bb986d617b2db5bf5d
  -> [DEC] File: bram_reader.py         | Size: 01690B | MD5: d27e2fa108950639d3c7a0209be3939a
  -> [DEC] File: launch_5k_emulator.py  | Size: 01761B | MD5: b8cb235aac4e3ad13d67a63909e4d787
  -> [DEC] File: fix_p6.py              | Size: 00992B | MD5: c3b5ab15a0b4d16e8699d652c0aeb89a
  -> [DEC] File: usb_export.py          | Size: 00602B | MD5: af83a654008235d748da218d1cb2d2db
  -> [DEC] File: run_live_test.py       | Size: 02486B | MD5: 5a7f05aa30e8bf4945c25b450017a0b1

[✓] EXTRACTION SUCCESSFUL: Collected 59 System Artifacts at 2026-06-18 12:35:07
